Address,Price per month €,Capacity,Link
Bachelors Walk Apartments,1350,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Bachelors-Walk-Apartments/4747416
"Crumlin Road, Crumlin, Dublin 12",1700,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Crumlin-Road-Crumlin-Dublin-12/4733611
"Willow Lodge, Rathbeale Rd",2850,"5 bedrooms (2 single, 3 double), 3 bathrooms house",https://www.let.ie/property-to-rent/Willow-Lodge-Rathbeale-Rd/4735448
"Dargle House, Custom House Square",2300,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Dargle-House-Custom-House-Square/4730589
Fernbank,1850,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Fernbank/4728446
"2 Bed Apartment, Gandon Grove, Gandon Park, Lucan, Co. Dublin",1925,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bed-Apartment-Gandon-Grove-Gandon-Park-Lucan-Co-Dublin/3127016
"3 Bedroom Duplex, Gandon Grove, Gandon Park, Lucan, Co. Dublin",2150,"3 bedrooms (3 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/3-Bedroom-Duplex-Gandon-Grove-Gandon-Park-Lucan-Co-Dublin/3127017
"William Beckett House, Pembroke Row",3200,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/William-Beckett-House-Pembroke-Row/4708422
The Crofton,2900,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/The-Crofton/4698763
21 Charles Street Great,1200,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/21-Charles-Street-Great/4696961
5 GlaunsharoonEglinton RoadDonnybrookDublin 4,3750,"3 bedrooms (3 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/5-GlaunsharoonEglinton-RoadDonnybrookDublin-4/4694217
"3 Clyde Lane, Ballsbridge",12000,"4 bedrooms (4 double), 5 bathrooms, unfurnished house",https://www.let.ie/property-to-rent/3-Clyde-Lane-Ballsbridge/4694109
Park Lodge,1900,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Park-Lodge/4658737
"Luxury Studio Apartment, New Luxury Studio Apartments at Clancy Quay,Dublin, Dublin 8, Co. Dublin",1700,furnished studio,https://www.let.ie/property-to-rent/Luxury-Studio-Apartment-New-Luxury-Studio-Apartments-at-Clancy-QuayDublin-Dublin-8-Co-Dublin/4655657
Clonard Lawn,2391,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Clonard-Lawn/4646589
Comeragh Road,1800,"2 bedrooms (2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Comeragh-Road/4646597
"Laurel Court, Laurel Lodge",2000,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Laurel-Court-Laurel-Lodge/4636547
"35 Wexford, Street ,Apt 2",2490,"3 bedrooms (3 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/35-Wexford-Street-Apt-2/4625050
Grosvenor Square,1200,furnished studio,https://www.let.ie/property-to-rent/Grosvenor-Square/4623906
4 Sandwith Street Upper,1850,"2 bedrooms (2 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/4-Sandwith-Street-Upper/4622179
"Apartment 54, Seapark, Mount Prospect Avenue",2000,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-54-Seapark-Mount-Prospect-Avenue/4614036
Grafton Hall,1575,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Grafton-Hall/4614002
"Block C, 96 Castleforbes Square",1650,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Block-C-96-Castleforbes-Square/4608217
Shaw Court,2250,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Shaw-Court/4606411
Music Hall Cow's Lane,1900,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Music-Hall-Cows-Lane/4599025
"3 Bedroom House, Occu Strand View, Howth Road, Raheny, Dublin 5, Co. Dublin",3250,"3 bedrooms (3 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/3-Bedroom-House-Occu-Strand-View-Howth-Road-Raheny-Dublin-5-Co-Dublin/4593578
"4 Bedroom House, Occu Strand View, Howth Road, Raheny, Dublin 5, Co. Dublin",3500,"4 bedrooms (4 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/4-Bedroom-House-Occu-Strand-View-Howth-Road-Raheny-Dublin-5-Co-Dublin/4593590
"1 bedroom apartment , Occu Strand View, Howth Road, Raheny, Dublin 5, Co. Dublin",2025,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/1-bedroom-apartment--Occu-Strand-View-Howth-Road-Raheny-Dublin-5-Co-Dublin/4583876
"2 Bedroom apartment, Occu Strand View, Howth Road, Raheny, Dublin 5, Co. Dublin",2250,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-apartment-Occu-Strand-View-Howth-Road-Raheny-Dublin-5-Co-Dublin/4583877
"3 bedroom apartment , Occu Strand View, Howth Road, Raheny, Dublin 5, Co. Dublin",2775,"3 bedrooms (3 double), 3 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/3-bedroom-apartment--Occu-Strand-View-Howth-Road-Raheny-Dublin-5-Co-Dublin/4583878
"Shelbourne Hall, Shelbourne, Shelbourne Road, Dublin 4, Co. Dublin",2200,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Shelbourne-Hall-Shelbourne-Shelbourne-Road-Dublin-4-Co-Dublin/4592387
"Shelbourne Hall, Shelbourne, Shelbourne Road, Dublin 4, Co. Dublin",2200,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Shelbourne-Hall-Shelbourne-Shelbourne-Road-Dublin-4-Co-Dublin/4592388
Canon Court,1407,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Canon-Court/4593595
"Smithfield Village, Dublin 7",1700,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Smithfield-Village-Dublin-7/4583861
"40 Leinster Road, Rathmines",1200,furnished studio,https://www.let.ie/property-to-rent/40-Leinster-Road-Rathmines/4542067
Old Market Green,2000,"3 bedrooms (2 double, 1 twin), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Old-Market-Green/4529781
"Apartment 8, The Pines, The Vale",1950,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-8-The-Pines-The-Vale/4518683
Woodford Heights,1900,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Woodford-Heights/4509091
"Windmill Lane, Lime Street, Off Sir John Rogerson\",1875,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Windmill-Lane-Lime-Street-Off-Sir-John-Rogerson/4502448
St. Laurences Road,2245,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/St-Laurences-Road/4501072
"Apartment 42, Merrion Woods",2750,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-42-Merrion-Woods/4498486
"Merrion Grove, Booterstown",2000,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Merrion-Grove-Booterstown/4495914
"Adelaide Square, Whitefriar Street, Dublin 2",1750,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Adelaide-Square-Whitefriar-Street-Dublin-2/4493273
Jervis St,1800,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Jervis-St/4488741
"The Barrington, 3 bed, 3 bath, Lansdowne Place , Ballsbridge, Dublin 4, Co. Dublin",8500,"3 bedrooms (3 double), 3 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/The-Barrington-3-bed-3-bath-Lansdowne-Place--Ballsbridge-Dublin-4-Co-Dublin/4860680
"The Barrington 2 Bed, 2 Bath, Lansdowne Place , Ballsbridge, Dublin 4, Co. Dublin",5000,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/The-Barrington-2-Bed-2-Bath-Lansdowne-Place--Ballsbridge-Dublin-4-Co-Dublin/4475340
"The Barrington, 2 bed, 2 bath, Lansdowne Place , Ballsbridge, Dublin 4, Co. Dublin",4000,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/The-Barrington-2-bed-2-bath-Lansdowne-Place--Ballsbridge-Dublin-4-Co-Dublin/5283413
"Fumbally Studios, Fumbally Lane",2500,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Fumbally-Studios-Fumbally-Lane/4466003
"Top Floor, 52 Brighton Road",2100,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/short-term-rental/Top-Floor-52-Brighton-Road/4453161
Shelbourne Park Mews,2100,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Shelbourne-Park-Mews/4453172
"Apartment 25, 20 Christchurch Place",1450,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-25-20-Christchurch-Place/4451963
St. Mary's Road,2200,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/St-Marys-Road/4453103
"Apartment 34, Block C, Earls Court",1750,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-34-Block-C-Earls-Court/4450129
"82 South Central, Rockbrook",1765,"1 bedroom (1 double), 1 bathroom, unfurnished apartment",https://www.let.ie/property-to-rent/82-South-Central-Rockbrook/4448835
"Apartment 263, Beechwood Court",1975,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-263-Beechwood-Court/4447279
"Flat 2, 60 Belgrave Square North",1300,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-2-60-Belgrave-Square-North/4446430
"Apartment 26, Mellor Court",1400,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-26-Mellor-Court/4439097
"Blackhall Square, Block C",1800,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/short-term-rental/Blackhall-Square-Block-C/4430449
"Apartment 245, Beechwood Court",1980,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/Apartment-245-Beechwood-Court/4430433
"Flat 4, 6 Summer Street North",1350,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Flat-4-6-Summer-Street-North/4430419
Ely Place Upper,3500,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Ely-Place-Upper/4417055
"Cedar House, Mespil Estate",1400,furnished studio,https://www.let.ie/property-to-rent/Cedar-House-Mespil-Estate/4398990
"4 Shelbourne Park Mews, Ringsend",1800,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/4-Shelbourne-Park-Mews-Ringsend/4394530
Chelmsford Road,1100,furnished studio,https://www.let.ie/property-to-rent/Chelmsford-Road/4380164
"61 South Central, Rockbrook",2035,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/61-South-Central-Rockbrook/4373481
27 South Central,2040,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/27-South-Central/4372920
"Two Bedroom Home , Bay Meadows , Hollystown , Hollystown, Dublin 15, Co. Dublin",1975,"2 bedrooms (2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Two-Bedroom-Home--Bay-Meadows--Hollystown--Hollystown-Dublin-15-Co-Dublin/4360568
"Three Bedroom Home , Bay Meadows , Hollystown , Hollystown, Dublin 15, Co. Dublin",2100,"3 bedrooms (2 double, 1 twin), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Three-Bedroom-Home--Bay-Meadows--Hollystown--Hollystown-Dublin-15-Co-Dublin/4360569
"Four Bedroom Home , Bay Meadows , Hollystown , Hollystown, Dublin 15, Co. Dublin",2450,"4 bedrooms (3 double, 1 twin), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Four-Bedroom-Home--Bay-Meadows--Hollystown--Hollystown-Dublin-15-Co-Dublin/4360570
Dorset Street Upper,1875,"2 bedrooms (1 single, 1 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/Dorset-Street-Upper/4357256
"Saint Patricks Court, Clanbrassil Street",1750,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Saint-Patricks-Court-Clanbrassil-Street/4354187
"The Northumberlands, Mount Street",1900,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Northumberlands-Mount-Street/4335731
"Penthouse, Ely Mews, Rogers Lane (Off Lower Baggot",1827,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Penthouse-Ely-Mews-Rogers-Lane-Off-Lower-Baggot/4333156
"The Millenium Tower, Charlotte Quay Dock",3600,"3 bedrooms (2 double, 1 twin), 3 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/The-Millenium-Tower-Charlotte-Quay-Dock/4322167
35 Fitzgibbon Street,950,furnished studio,https://www.let.ie/property-to-rent/35-Fitzgibbon-Street/4318369
"2 Gledswood Mews, Bird Avenue, Clonskeagh, Dublin 14, Co. Dublin",4000,"4 bedrooms (2 single, 2 twin), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/2-Gledswood-Mews-Bird-Avenue-Clonskeagh-Dublin-14-Co-Dublin/4297379
"Flat 12, 54 Richmond Street South",1600,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-12-54-Richmond-Street-South/4278209
"Eaglewood, Rochestown Avenue",1895,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Eaglewood-Rochestown-Avenue/4269017
"10 Mount Albion Road, Churchtown",2200,"3 bedrooms (1 single, 2 double), 1 bathroom, unfurnished house",https://www.let.ie/property-to-rent/10-Mount-Albion-Road-Churchtown/4248213
Cassian Court South,1600,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Cassian-Court-South/4245769
Marlborough Court,1950,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Marlborough-Court/4222241
Blackhall Court,1400,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Blackhall-Court/4222201
"Bow Lane West, Kilmainham, Dublin 8, Co. Dublin",2000,"2 bedrooms (2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Bow-Lane-West-Kilmainham-Dublin-8-Co-Dublin/4209067
"The Waterfront, Hanover Quay",4900,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/short-term-rental/The-Waterfront-Hanover-Quay/4204449
"Foster Terrace, Ballybough",1150,furnished studio,https://www.let.ie/property-to-rent/Foster-Terrace-Ballybough/4201234
"16 Hollywood Drive, Goatstown",2700,"3 bedrooms (3 double), 2 bathrooms, unfurnished house",https://www.let.ie/property-to-rent/16-Hollywood-Drive-Goatstown/4199820
Blessington street,1180,furnished studio,https://www.let.ie/property-to-rent/Blessington-street/4184621
"Block E, 246 Castleforbes Sq",1950,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Block-E-246-Castleforbes-Sq/4176564
"Rathgar Avenue, Rathgar",1250,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Rathgar-Avenue-Rathgar/4173778
"7 Moy Elta Road, East Wall",1850,"2 bedrooms (2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/7-Moy-Elta-Road-East-Wall/4167825
63 The Marker Residence,2700,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/63-The-Marker-Residence/4163741
"Harmac Court, Brighton Avenue",2500,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Harmac-Court-Brighton-Avenue/4153525
"Apartment 42, Windmill Lane Apartments",1995,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-42-Windmill-Lane-Apartments/4138687
87 South Central Rockbrook,2055,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/87-South-Central-Rockbrook/4134293
"1 Bed apartment, Mespil Estate, Sussex Road, Dublin 4, Co. Dublin",1900,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/1-Bed-apartment-Mespil-Estate-Sussex-Road-Dublin-4-Co-Dublin/4128273
"Studio , Mespil Estate, Sussex Road, Dublin 4, Co. Dublin",1595,"1 bedroom (1 single), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Studio--Mespil-Estate-Sussex-Road-Dublin-4-Co-Dublin/4977574
"Flat 6, 87 Ranelagh Road",1300,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Flat-6-87-Ranelagh-Road/4127239
"1 Rise Mews, The Rise",2100,"2 bedrooms (1 single, 1 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/1-Rise-Mews-The-Rise/4126266
"68 Adair, Sandymount Avenue, Ballsbridge,",1900,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/68-Adair-Sandymount-Avenue-Ballsbridge/4114398
"2 Bed apartment, U Hansfield, Station Road, Ongar, Dublin 15, Co. Dublin",1850,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bed-apartment-U-Hansfield-Station-Road-Ongar-Dublin-15-Co-Dublin/4010283
"Apartment 3, College Gate",1850,"2 bedrooms (2 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/Apartment-3-College-Gate/4110706
Rathgael,1600,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Rathgael/4104158
The Old Golf Links,3750,"5 bedrooms (5 double), 3 bathrooms, unfurnished house",https://www.let.ie/property-to-rent/The-Old-Golf-Links/4076192
Mountpleasant Avenue Upper,1495,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Mountpleasant-Avenue-Upper/4039603
"Embassy Court, Prince of Wales Terrace",2995,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Embassy-Court-Prince-of-Wales-Terrace/4036798
Grosvenor Square,1400,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Grosvenor-Square/4021594
148 Grande Central Rockbrook,1925,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/148-Grande-Central-Rockbrook/3996733
"6 The Tower ,Beacon South Quarter",2800,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/6-The-Tower-Beacon-South-Quarter/3996719
"76 The Marker, Lazer Lane",2660,"2 bedrooms (2 double), 3 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/76-The-Marker-Lazer-Lane/3992246
"MORDEN/FULLY Refurbished/Furnished Apt., Smithfield Gate,",1558,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/MORDENFULLY-RefurbishedFurnished-Apt-Smithfield-Gate/3989778
"Apartment 3, 22 Hill Street",1800,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-3-22-Hill-Street/3987164
"Apt 10, Sherbourne Apartments, 26 Aungier Street",1780,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apt-10-Sherbourne-Apartments-26-Aungier-Street/3978019
"Apartment 125, Westland Square",2950,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-125-Westland-Square/3976746
North Circular Road,1100,furnished studio,https://www.let.ie/property-to-rent/North-Circular-Road/3973770
North Circular Road,1375,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/North-Circular-Road/3973776
Rathmines Road Lower,1400,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Rathmines-Road-Lower/3969387
Apartment 12 City Square,1675,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apartment-12-City-Square/3954968
"The Pines, Herbert Park Lane",2000,"1 bedroom (1 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/The-Pines-Herbert-Park-Lane/3952441
Botanic Road,1375,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Botanic-Road/3943971
"21 The Close, Beaumont Woods",2200,"3 bedrooms (1 single, 2 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/21-The-Close-Beaumont-Woods/3941546
Mark's Alley West,1900,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Marks-Alley-West/3938710
"Apartment 2, Block 1, Clarion Quay",3150,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Apartment-2-Block-1-Clarion-Quay/3909447
"The Finsbury House Gate Lodge, Pembroke Road",1900,"1 bedroom (1 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/The-Finsbury-House-Gate-Lodge-Pembroke-Road/3909444
"The Hibernian, The Gasworks",1750,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Hibernian-The-Gasworks/3907685
Leinster Road,1300,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Leinster-Road/3904690
"Vergemount, Dublin 14",1350,"1 bedroom (1 double), 1 bathroom, furnished flat",https://www.let.ie/property-to-rent/Vergemount-Dublin-14/3901482
"Killiney Court Apartments, Station Road",3500,"2 bedrooms (2 double), 2 bathrooms apartment",https://www.let.ie/property-to-rent/Killiney-Court-Apartments-Station-Road/3895644
"1 Bedroom Apartment , Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2350,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/1-Bedroom-Apartment--Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/3894826
"1 Bedroom Apartment , Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2400,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/1-Bedroom-Apartment--Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/3894827
"2 Bedroom Apartment, Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2600,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/3894828
"2 Bedroom Apartment, Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2600,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/3894829
"1 Bedroom Apartment, O'Callaghan Court, Erne Street Upper, Dublin 2, Co. Dublin",2100,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/1-Bedroom-Apartment-OCallaghan-Court-Erne-Street-Upper-Dublin-2-Co-Dublin/3895142
"2 Bedroom Apartment, O'Callaghan Court, Erne Street Upper, Dublin 2, Co. Dublin",2500,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-OCallaghan-Court-Erne-Street-Upper-Dublin-2-Co-Dublin/3895143
"2 Bedroom Apartment, Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2700,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/4991416
"2 Bedroom Apartment, Cathedral Court, Unit 6 Cathedral Court, New Stree, Dublin 8, Co. Dublin",2600,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-Cathedral-Court-Unit-6-Cathedral-Court-New-Stree-Dublin-8-Co-Dublin/4140229
"2 Bedroom Apartment, Abbey Glen by havitat, Johnstown Rd, Cabinteely, Dublin 18, Co. Dublin",1746,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/2-Bedroom-Apartment-Abbey-Glen-by-havitat-Johnstown-Rd-Cabinteely-Dublin-18-Co-Dublin/3895155
Shrewsbury Square,2700,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Shrewsbury-Square/3893799
"Gold ensuite, The Loom, Cork Street,, Dublin 8, Co. Dublin",6480,"6 bedrooms (6 single), 6 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Gold-ensuite-The-Loom-Cork-Street-Dublin-8-Co-Dublin/3894794
"Bronze ensuite , The Loom, Cork Street,, Dublin 8, Co. Dublin",960,furnished studio,https://www.let.ie/property-to-rent/Bronze-ensuite--The-Loom-Cork-Street-Dublin-8-Co-Dublin/4261165
"Bolton Square, Lower Domnick Street",1300,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Bolton-Square-Lower-Domnick-Street/3887721
Charlotte Quay Dock,1600,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Charlotte-Quay-Dock/3855141
"143 Pembroke Square, Grand Canal Street",1950,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/143-Pembroke-Square-Grand-Canal-Street/3836162
"Apart 5 Semple Hall ,Little Britain Street ,Off Capel Street",1620,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Apart-5-Semple-Hall-Little-Britain-Street-Off-Capel-Street/3836187
"Rathmines Road Lower,",1100,"1 bedroom (1 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Rathmines-Road-Lower/3832381
"Apartment 264, Beechwood Court",2225,"2 bedrooms (2 double), 2 bathrooms, unfurnished apartment",https://www.let.ie/property-to-rent/Apartment-264-Beechwood-Court/3798696
"The Waterfront, Hanover Quay,Grand Canal Dock",4000,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/The-Waterfront-Hanover-QuayGrand-Canal-Dock/3785108
98 Old County Rd. Crumlin,2500,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/98-Old-County-Rd-Crumlin/3782020
